feature,global_mean,global_std,local_std,stability_ratio,stability_gain
feature_affettuoso_revealing_miscellanist,1431.2630662020906,555.195041868027,454.6677954368266,0.8189334578836237,100.52724643120041
feature_affinitive_tinier_southernism,922.726480836237,787.0066049664971,379.44265589611086,0.48213401704838776,407.56394907038623
feature_afghani_unworshipped_fiona,668.4477351916377,487.6873764962699,420.15234287925733,0.8615198242320526,67.53503361701257
feature_afoul_drainable_cateran,2056.5522648083625,457.45168625401516,240.06770988451456,0.5247935838872589,217.3839763695006
feature_agamid_yuletide_physiology,1351.2508710801394,582.8368156763875,456.64049332969466,0.7834791506774657,126.1963223466928
feature_aged_steely_eve,1845.621951219512,514.288561212906,350.51174300235766,0.6815468385602539,163.7768182105483
feature_agentive_argyle_kail,826.6306620209059,672.3710821245935,417.1738181903546,0.6204517554088538,255.1972639342389
feature_aggregate_biliteral_enceinte,1723.9825783972126,498.91416446167915,385.9222793039391,0.773524399172638,112.99188515774006
feature_agonized_unsensualized_armadillo,2427.3571428571427,348.91216081000533,75.70597126356328,0.21697716436082545,273.20618954644203
feature_agrarian_servomechanical_pegboard,2468.2804878048782,313.90096881412995,52.33203201696714,0.1667151019465457,261.5689367971628
feature_agronomical_gamic_fremantle,1858.9198606271777,493.02930524993474,340.87258769289406,0.6913840294343014,152.15671755704068
feature_ailurophobic_boggy_trocar,1509.602787456446,584.9882853133236,444.59899594254557,0.760013503012997,140.389289370778
feature_aired_temptable_murmansk,1857.9303135888501,494.3815556177031,419.574707418462,0.8486860050719854,74.80684819924107
feature_airtight_persuadable_ekaterinburg,1565.4094076655051,955.656883073701,340.2387101887718,0.35602601332651346,615.4181728849292
feature_airworthy_sweetish_interpolater,973.3536585365854,561.259483697775,474.90197353356785,0.8461362120863358,86.3575101642071
feature_airy_fecund_disgrace,798.9163763066202,655.6659617357134,402.65842519080644,0.6141212884147103,253.00753654490694
feature_akkadian_beerier_pentameter,914.8937282229965,618.4165538387679,423.3597491864464,0.6845867022130584,195.0568046523215
feature_alarming_forenamed_shearing,692.7560975609756,480.7182922808694,423.6635085696984,0.8813134747994247,57.054783711170955
feature_albitic_unseizable_reshipment,1215.5627177700349,600.0494936569618,482.4289845052104,0.8039819874941965,117.62050915175138
feature_alcoholic_overdelicate_parsimony,901.4477351916377,864.4573355852893,350.61660988840526,0.40559157225615633,513.8407256968841
feature_aleatory_triboelectric_chivy,908.0470383275261,632.9418525492612,426.9475209296065,0.6745446192411138,205.99433161965464
feature_alimentative_divulsive_repressor,957.9512195121952,536.7915033187088,484.8064810064693,0.9031560261463855,51.985022312239494
feature_aliped_unbleached_linstock,2199.8745644599303,476.50273173237304,207.62719451441478,0.43573138344782514,268.87553721795825
feature_aliunde_unhaunted_coacervate,1539.0783972125435,580.1191601011378,440.21230924180543,0.7588308394521204,139.9068508593324
feature_alleviated_wrinkled_glycosuria,1539.6620209059233,561.4321913339721,435.09073263635213,0.7749657738765734,126.34145869762
feature_alphanumerical_gracile_decollator,1305.5644599303137,581.7911428365348,481.16479827476564,0.8270404322912801,100.6263445617692
